rank,team
1,Argentina
2,Spain
3,France
4,England
5,Portugal
6,Brazil
7,Morocco
8,Netherlands
9,Belgium
10,Germany
11,Croatia
12,Italy
13,Mexico
14,Colombia
15,Senegal
16,Uruguay
17,USA
18,Japan
19,Switzerland
20,Iran
21,Denmark
22,Türkiye
23,Ecuador
24,Austria
25,Korea Republic
26,Nigeria
27,Australia
28,Algeria
29,Egypt
30,Canada
31,Norway
32,Ukraine
33,Côte d'Ivoire
34,Panama
35,Russia
36,Poland
37,Wales
38,Sweden
39,Hungary
40,Czechia
41,Paraguay
42,Scotland
43,Serbia
44,Cameroon
45,Tunisia
46,Congo DR
47,Slovakia
48,Greece
49,Venezuela
50,Uzbekistan
51,Chile
52,Peru
53,Costa Rica
54,Romania
55,Mali
56,Qatar
57,Iraq
58,Republic of Ireland
59,Slovenia
60,Saudi Arabia
61,South Africa
62,Burkina Faso
63,Jordan
64,Bosnia and Herzegovina
65,Honduras
66,Albania
67,Cabo Verde
68,United Arab Emirates
69,North Macedonia
70,Northern Ireland
71,Jamaica
72,Georgia
73,Ghana
74,Iceland
75,Finland
76,Israel
77,Bolivia
78,Kosovo
79,Oman
80,Montenegro
81,Guinea
82,Curaçao
83,Haiti
84,Syria
85,New Zealand
86,Gabon
87,Bulgaria
88,Angola
89,Uganda
90,Zambia
91,China PR
92,Bahrain
93,Benin
94,Thailand
95,Palestine
96,Belarus
97,Guatemala
98,Luxembourg
99,Vietnam
100,El Salvador
101,Tajikistan
102,Trinidad and Tobago
103,Mozambique
104,Madagascar
105,Equatorial Guinea
106,Kyrgyz Republic
107,Armenia
108,Comoros
109,Kenya
110,Libya
111,Kazakhstan
112,Tanzania
113,Mauritania
114,Niger
115,Lebanon
116,The Gambia
117,Sudan
118,Indonesia
119,Togo
120,Korea
121,Namibia
122,Sierra Leone
123,Faroe Islands
124,Cyprus
125,Suriname
126,Azerbaijan
127,Estonia
128,Rwanda
129,Malawi
130,Zimbabwe
131,Nicaragua
132,Guinea-Bissau
133,Kuwait
134,Congo
135,Philippines
136,Malaysia
137,Latvia
138,India
139,Central African Republic
140,Liberia
141,Turkmenistan
142,Burundi
143,Ethiopia
144,Dominican Republic
145,Yemen
146,Lesotho
147,Botswana
148,Singapore
149,Lithuania
150,Guyana
151,New Caledonia
152,St. Kitts and Nevis
153,Solomon Islands
154,Puerto Rico
155,Fiji
156,Hong Kong
157,Tahiti
158,Myanmar
159,Moldova
160,Vanuatu
161,Malta
162,Antigua and Barbuda
163,Grenada
164,Cuba
165,Eswatini
166,St. Lucia
167,Bermuda
168,Papua New Guinea
169,South Sudan
170,St. Vincent / Grenadines
171,Afghanistan
172,Andorra
173,Maldives
174,Chinese Taipei
175,Cambodia
176,Montserrat
177,Nepal
178,Mauritius
179,Barbados
180,Belize
181,Bangladesh
182,Dominica
183,Chad
184,Eritrea
185,Laos
186,Cook Islands
187,Sri Lanka
188,Samoa
189,Aruba
190,Mongolia
191,American Samoa
192,Bhutan
193,Macau
194,Brunei
195,São Tomé and Príncipe
196,Djibouti
197,Cayman Islands
198,Pakistan
199,Somalia
200,Tonga
201,Timor-Leste
202,Gibraltar
203,Guam
204,Seychelles
205,Turks and Caicos Islands
206,Liechtenstein
207,Bahamas
208,Virgin Islands
209,British Virgin Islands
210,Anguilla
211,San Marino
