rank,team
1,Argentina
2,France
3,Spain
4,England
5,Brazil
6,Portugal
7,Netherlands
8,Belgium
9,Italy
10,Germany
11,Uruguay
12,Colombia
13,Croatia
14,Morocco
15,Japan
16,USA
17,Senegal
18,Iran
19,Mexico
20,Switzerland
21,Denmark
22,Austria
23,Korea Republic
24,Ecuador
25,Ukraine
26,Australia
27,Sweden
28,Türkiye
29,Wales
30,Hungary
31,Canada
32,Serbia
33,Egypt
34,Russia
35,Poland
36,Panama
37,Algeria
38,Romania
39,Greece
40,Peru
41,Slovakia
42,Czechia
43,Norway
44,Nigeria
45,Scotland
46,Côte d'Ivoire
47,Venezuela
48,Qatar
49,Cameroon
50,Chile
51,Mali
52,Tunisia
53,Paraguay
54,Costa Rica
55,Slovenia
56,Iraq
57,South Africa
58,Uzbekistan
59,Saudi Arabia
60,Republic of Ireland
61,Congo DR
62,Jamaica
63,United Arab Emirates
64,Jordan
65,Albania
66,Burkina Faso
67,North Macedonia
68,Georgia
69,Finland
70,Iceland
71,Northern Ireland
72,Cabo Verde
73,Montenegro
74,Bosnia and Herzegovina
75,Honduras
76,Israel
77,Ghana
78,Guinea
79,Bolivia
80,Oman
81,Bahrain
82,Bulgaria
83,El Salvador
84,Gabon
85,Angola
86,Haiti
87,Zambia
88,Uganda
89,New Zealand
90,China PR
91,Curaçao
92,Luxembourg
93,Equatorial Guinea
94,Benin
95,Syria
96,Mozambique
97,Thailand
98,Belarus
99,Kosovo
100,Armenia
101,Palestine
102,Trinidad and Tobago
103,Comoros
104,Tajikistan
105,Guatemala
106,Tanzania
107,Kyrgyz Republic
108,Kenya
109,Mauritania
110,Kazakhstan
111,Namibia
112,Lebanon
113,Sudan
114,Vietnam
115,Korea DPR
116,Madagascar
117,Azerbaijan
118,Libya
119,Togo
120,Guinea-Bissau
121,Zimbabwe
122,Niger
123,Estonia
124,Rwanda
125,The Gambia
126,India
127,Indonesia
128,Congo
129,Sierra Leone
130,Cyprus
131,Malawi
132,Malaysia
133,Nicaragua
134,Kuwait
135,Central African Republic
136,Botswana
137,Faroe Islands
138,Suriname
139,Burundi
140,Latvia
141,Dominican Republic
142,Lithuania
143,Turkmenistan
144,St Kitts and Nevis
145,Liberia
146,Ethiopia
147,Solomon Islands
148,Fiji
149,Lesotho
150,Philippines
151,Moldova
152,New Caledonia
153,Tahiti
154,Guyana
155,"Hong Kong, China"
156,Afghanistan
157,Puerto Rico
158,Yemen
159,Eswatini
160,Singapore
161,Antigua and Barbuda
162,Maldives
163,Cuba
164,Vanuatu
165,Chinese Taipei
166,Bermuda
167,St Lucia
168,Malta
169,Myanmar
170,South Sudan
171,Andorra
172,Papua New Guinea
173,St Vincent and the Grenadines
174,Grenada
175,Nepal
176,Chad
177,Barbados
178,Belize
179,Mauritius
180,Cambodia
181,Montserrat
182,Bhutan
183,Dominica
184,Brunei Darussalam
185,Bangladesh
186,Laos
187,American Samoa
188,Mongolia
189,São Tomé and Príncipe
190,Cook Islands
191,Djibouti
192,Samoa
193,Macau
194,Cayman Islands
195,Aruba
196,Gibraltar
197,Timor-Leste
198,Pakistan
199,Tonga
200,Sri Lanka
201,Seychelles
202,Somalia
203,Guam
204,Liechtenstein
205,Bahamas
206,Turks and Caicos Islands
207,British Virgin Islands
208,Virgin Islands
209,Anguilla
210,San Marino
